BASIN,POINTS,ID,NAME,SCENARIO,WYIELD,EROSION,N,P
1_BASE,1,1,CABEZAS,BASE,322.30,0.59,1.28,0.65
1_BASE,2,1,CABEZAS,BASE,197.18,0.03,0.00,0.00
1_BASE,3,1,CABEZAS,BASE,402.42,0.03,0.00,0.00
1_BASE,4,1,CABEZAS,BASE,263.91,0.06,1.33,0.68
1_BASE,5,1,CABEZAS,BASE,229.05,0.00,0.01,0.01
1_BASE,6,1,CABEZAS,BASE,332.34,1.53,3.29,1.38
1_BASE,7,1,CABEZAS,BASE,321.39,0.23,1.87,0.79
1_BASE,8,1,CABEZAS,BASE,220.17,0.00,0.00,0.00
1_BASE,9,1,CABEZAS,BASE,20.98,0.06,0.01,0.01
1_BASE,10,1,CABEZAS,BASE,157.17,0.66,2.27,0.96
1_BASE,11,1,CABEZAS,BASE,205.98,0.08,3.48,1.46
1_BASE,12,1,CABEZAS,BASE,111.49,0.30,0.02,0.02
1_BASE,13,1,CABEZAS,BASE,23.35,0.03,0.01,0.01
1_BASE,14,1,CABEZAS,BASE,725.14,0.22,0.31,0.08
1_BASE,15,1,CABEZAS,BASE,242.67,0.40,1.86,0.94
1_BASE,16,1,CABEZAS,BASE,235.34,0.00,0.01,0.01
1_BASE,17,1,CABEZAS,BASE,395.74,0.01,0.00,0.00
1_BASE,18,1,CABEZAS,BASE,182.59,0.03,2.06,0.87
1_BASE,19,1,CABEZAS,BASE,220.84,0.02,0.01,0.01
1_BASE,20,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,21,1,CABEZAS,BASE,288.93,61.63,8.63,3.63
1_BASE,22,1,CABEZAS,BASE,216.24,0.00,0.00,0.00
1_BASE,23,1,CABEZAS,BASE,125.78,0.00,0.00,0.00
1_BASE,24,1,CABEZAS,BASE,214.43,0.01,0.00,0.00
1_BASE,25,1,CABEZAS,BASE,199.15,0.02,0.01,0.01
1_BASE,26,1,CABEZAS,BASE,329.92,0.54,2.19,0.92
1_BASE,27,1,CABEZAS,BASE,408.93,0.00,3.22,1.64
1_BASE,28,1,CABEZAS,BASE,337.77,1.62,0.01,0.01
1_BASE,29,1,CABEZAS,BASE,344.80,0.17,1.29,0.66
1_BASE,30,1,CABEZAS,BASE,108.05,0.01,0.01,0.01
1_BASE,31,1,CABEZAS,BASE,68.91,0.06,0.30,0.03
1_BASE,32,1,CABEZAS,BASE,22.13,0.03,0.01,0.01
1_BASE,33,1,CABEZAS,BASE,211.68,0.05,0.00,0.00
1_BASE,34,1,CABEZAS,BASE,23.30,0.03,0.01,0.01
1_BASE,35,1,CABEZAS,BASE,181.34,0.26,2.34,0.99
1_BASE,36,1,CABEZAS,BASE,223.56,0.02,0.01,0.01
1_BASE,37,1,CABEZAS,BASE,20.98,0.03,0.01,0.01
1_BASE,38,1,CABEZAS,BASE,164.31,0.00,0.00,0.00
1_BASE,39,1,CABEZAS,BASE,369.55,0.35,2.45,1.03
1_BASE,40,1,CABEZAS,BASE,225.95,0.00,0.00,0.00
1_BASE,41,1,CABEZAS,BASE,22.02,0.05,0.00,0.00
1_BASE,42,1,CABEZAS,BASE,210.14,0.00,0.00,0.00
1_BASE,43,1,CABEZAS,BASE,134.34,0.01,0.01,0.01
1_BASE,44,1,CABEZAS,BASE,263.50,1.88,1.73,0.88
1_BASE,45,1,CABEZAS,BASE,211.26,0.20,0.00,0.00
1_BASE,46,1,CABEZAS,BASE,216.24,0.01,0.00,0.00
1_BASE,47,1,CABEZAS,BASE,173.07,0.82,3.47,1.46
1_BASE,48,1,CABEZAS,BASE,320.07,0.51,2.44,1.03
1_BASE,49,1,CABEZAS,BASE,23.75,0.00,0.00,0.00
1_BASE,50,1,CABEZAS,BASE,10.56,0.15,0.65,0.07
1_BASE,51,1,CABEZAS,BASE,752.16,0.00,0.30,0.08
1_BASE,52,1,CABEZAS,BASE,277.71,2.62,2.54,1.29
1_BASE,53,1,CABEZAS,BASE,23.33,0.06,0.01,0.01
1_BASE,54,1,CABEZAS,BASE,53.77,0.00,0.00,0.00
1_BASE,55,1,CABEZAS,BASE,317.55,4.52,1.96,0.99
1_BASE,56,1,CABEZAS,BASE,358.44,0.00,0.00,0.00
1_BASE,57,1,CABEZAS,BASE,181.05,0.03,2.09,0.88
1_BASE,58,1,CABEZAS,BASE,355.49,1.34,1.94,0.98
1_BASE,59,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,60,1,CABEZAS,BASE,90.27,0.61,0.01,0.01
1_BASE,61,1,CABEZAS,BASE,108.18,0.16,0.01,0.01
1_BASE,62,1,CABEZAS,BASE,294.93,0.03,0.00,0.00
1_BASE,63,1,CABEZAS,BASE,151.05,0.02,1.34,0.56
1_BASE,64,1,CABEZAS,BASE,92.83,0.00,0.01,0.01
1_BASE,65,1,CABEZAS,BASE,301.33,0.00,0.00,0.00
1_BASE,66,1,CABEZAS,BASE,102.91,0.52,0.01,0.01
1_BASE,67,1,CABEZAS,BASE,262.37,1.05,1.88,0.96
1_BASE,68,1,CABEZAS,BASE,22.67,0.04,0.01,0.01
1_BASE,69,1,CABEZAS,BASE,126.76,0.21,0.01,0.01
1_BASE,70,1,CABEZAS,BASE,22.67,0.03,0.01,0.01
1_BASE,71,1,CABEZAS,BASE,213.34,0.00,0.00,0.00
1_BASE,72,1,CABEZAS,BASE,307.21,0.32,1.49,0.75
1_BASE,73,1,CABEZAS,BASE,141.02,0.44,2.24,0.94
1_BASE,74,1,CABEZAS,BASE,329.68,0.00,0.00,0.00
1_BASE,75,1,CABEZAS,BASE,245.24,0.07,0.72,0.37
1_BASE,76,1,CABEZAS,BASE,189.20,0.04,0.01,0.01
1_BASE,77,1,CABEZAS,BASE,308.23,0.34,4.33,1.82
1_BASE,78,1,CABEZAS,BASE,79.26,5.60,0.01,0.01
1_BASE,79,1,CABEZAS,BASE,219.98,0.09,1.17,0.60
1_BASE,80,1,CABEZAS,BASE,181.34,0.01,2.56,1.08
1_BASE,81,1,CABEZAS,BASE,173.98,0.58,3.34,1.40
1_BASE,82,1,CABEZAS,BASE,103.05,0.00,0.01,0.01
1_BASE,83,1,CABEZAS,BASE,329.68,0.00,0.00,0.00
1_BASE,84,1,CABEZAS,BASE,116.84,0.01,0.00,0.00
1_BASE,85,1,CABEZAS,BASE,103.59,0.15,0.01,0.01
1_BASE,86,1,CABEZAS,BASE,94.55,0.12,0.01,0.01
1_BASE,87,1,CABEZAS,BASE,127.59,0.04,0.01,0.01
1_BASE,88,1,CABEZAS,BASE,227.59,0.15,0.01,0.01
1_BASE,89,1,CABEZAS,BASE,21.63,0.07,0.01,0.01
1_BASE,90,1,CABEZAS,BASE,318.00,0.00,3.03,1.27
1_BASE,91,1,CABEZAS,BASE,291.47,0.05,0.80,0.41
1_BASE,92,1,CABEZAS,BASE,231.84,0.06,0.01,0.01
1_BASE,93,1,CABEZAS,BASE,184.17,0.00,0.01,0.01
1_BASE,94,1,CABEZAS,BASE,21.44,0.04,0.01,0.01
1_BASE,95,1,CABEZAS,BASE,263.98,0.18,0.01,0.01
1_BASE,96,1,CABEZAS,BASE,156.72,0.88,2.50,1.05
1_BASE,97,1,CABEZAS,BASE,84.59,0.01,0.01,0.01
1_BASE,98,1,CABEZAS,BASE,52.36,0.00,0.00,0.00
1_BASE,99,1,CABEZAS,BASE,95.72,0.12,0.01,0.01
1_BASE,100,1,CABEZAS,BASE,21.61,0.02,0.01,0.01
1_BASE,101,1,CABEZAS,BASE,103.49,0.00,0.00,0.00
1_BASE,102,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,103,1,CABEZAS,BASE,379.16,2.38,2.06,1.04
1_BASE,104,1,CABEZAS,BASE,181.79,0.01,2.20,0.92
1_BASE,105,1,CABEZAS,BASE,218.55,0.04,0.00,0.00
1_BASE,106,1,CABEZAS,BASE,144.29,0.16,1.22,0.62
1_BASE,107,1,CABEZAS,BASE,478.74,0.32,0.34,0.09
1_BASE,108,1,CABEZAS,BASE,140.41,0.13,0.00,0.00
1_BASE,109,1,CABEZAS,BASE,388.74,0.00,0.00,0.00
1_BASE,110,1,CABEZAS,BASE,125.86,0.02,0.02,0.02
1_BASE,111,1,CABEZAS,BASE,256.54,0.69,1.53,0.78
1_BASE,112,1,CABEZAS,BASE,328.95,0.00,0.00,0.00
1_BASE,113,1,CABEZAS,BASE,339.31,0.02,0.01,0.00
1_BASE,114,1,CABEZAS,BASE,71.50,0.07,0.43,0.04
1_BASE,115,1,CABEZAS,BASE,68.00,0.13,1.02,0.11
1_BASE,116,1,CABEZAS,BASE,243.92,0.69,1.17,0.60
1_BASE,117,1,CABEZAS,BASE,393.91,0.01,0.00,0.00
1_BASE,118,1,CABEZAS,BASE,343.35,0.10,3.95,1.59
1_BASE,119,1,CABEZAS,BASE,108.76,0.07,0.00,0.00
1_BASE,120,1,CABEZAS,BASE,118.94,0.48,0.01,0.01
1_BASE,121,1,CABEZAS,BASE,247.20,0.06,0.87,0.44
1_BASE,122,1,CABEZAS,BASE,256.10,0.03,0.01,0.01
1_BASE,123,1,CABEZAS,BASE,240.67,0.09,0.01,0.01
1_BASE,124,1,CABEZAS,BASE,168.93,0.23,2.87,1.21
1_BASE,125,1,CABEZAS,BASE,351.43,1.50,2.80,1.43
1_BASE,126,1,CABEZAS,BASE,117.04,0.16,0.01,0.01
1_BASE,127,1,CABEZAS,BASE,125.86,0.58,0.02,0.02
1_BASE,128,1,CABEZAS,BASE,258.12,0.38,0.20,0.05
1_BASE,129,1,CABEZAS,BASE,113.75,0.01,0.01,0.01
1_BASE,130,1,CABEZAS,BASE,147.17,0.20,0.01,0.01
1_BASE,131,1,CABEZAS,BASE,87.40,0.09,0.01,0.01
1_BASE,132,1,CABEZAS,BASE,726.39,0.01,0.00,0.00
1_BASE,133,1,CABEZAS,BASE,158.73,1.38,3.67,1.54
1_BASE,134,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,135,1,CABEZAS,BASE,308.19,2.03,3.44,1.45
1_BASE,136,1,CABEZAS,BASE,726.31,0.00,0.08,0.02
1_BASE,137,1,CABEZAS,BASE,332.39,0.18,2.12,0.89
1_BASE,138,1,CABEZAS,BASE,635.93,0.05,0.19,0.05
1_BASE,139,1,CABEZAS,BASE,299.19,0.15,0.01,0.01
1_BASE,140,1,CABEZAS,BASE,218.61,8.24,2.88,1.46
1_BASE,141,1,CABEZAS,BASE,84.00,0.02,0.00,0.00
1_BASE,142,1,CABEZAS,BASE,219.14,0.02,0.00,0.00
1_BASE,143,1,CABEZAS,BASE,256.12,2.03,2.22,1.13
1_BASE,144,1,CABEZAS,BASE,301.54,3.05,6.45,2.71
1_BASE,145,1,CABEZAS,BASE,726.31,0.00,0.06,0.02
1_BASE,146,1,CABEZAS,BASE,200.07,2.87,4.25,1.79
1_BASE,147,1,CABEZAS,BASE,167.57,0.02,2.07,0.87
1_BASE,148,1,CABEZAS,BASE,300.91,0.00,0.00,0.00
1_BASE,149,1,CABEZAS,BASE,22.02,0.02,0.01,0.01
1_BASE,150,1,CABEZAS,BASE,216.18,0.00,0.00,0.00
1_BASE,151,1,CABEZAS,BASE,300.74,0.81,1.73,0.88
1_BASE,152,1,CABEZAS,BASE,164.10,0.27,2.11,0.89
1_BASE,153,1,CABEZAS,BASE,243.92,0.50,1.09,0.56
1_BASE,154,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,155,1,CABEZAS,BASE,351.94,3.23,2.05,1.04
1_BASE,156,1,CABEZAS,BASE,304.87,0.01,1.48,0.62
1_BASE,157,1,CABEZAS,BASE,218.13,0.00,0.00,0.00
1_BASE,158,1,CABEZAS,BASE,176.89,0.13,1.95,0.82
1_BASE,159,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,160,1,CABEZAS,BASE,21.44,0.23,0.01,0.01
1_BASE,161,1,CABEZAS,BASE,223.77,0.02,0.01,0.01
1_BASE,162,1,CABEZAS,BASE,150.09,0.02,1.68,0.71
1_BASE,163,1,CABEZAS,BASE,297.28,0.08,2.58,1.31
1_BASE,164,1,CABEZAS,BASE,260.92,0.19,1.50,0.76
1_BASE,165,1,CABEZAS,BASE,354.19,0.15,2.65,1.11
1_BASE,166,1,CABEZAS,BASE,358.44,0.00,0.00,0.00
1_BASE,167,1,CABEZAS,BASE,719.01,0.00,0.14,0.04
1_BASE,168,1,CABEZAS,BASE,206.27,13.99,0.03,0.03
1_BASE,169,1,CABEZAS,BASE,22.13,0.06,0.01,0.01
1_BASE,170,1,CABEZAS,BASE,719.01,0.00,0.06,0.01
1_BASE,171,1,CABEZAS,BASE,440.74,1.55,1.72,0.87
1_BASE,172,1,CABEZAS,BASE,200.07,0.13,2.68,1.13
1_BASE,173,1,CABEZAS,BASE,339.31,0.03,0.01,0.00
1_BASE,174,1,CABEZAS,BASE,50.97,0.01,0.00,0.00
1_BASE,175,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,176,1,CABEZAS,BASE,156.72,0.62,3.41,1.43
1_BASE,177,1,CABEZAS,BASE,181.00,0.06,3.11,1.31
1_BASE,178,1,CABEZAS,BASE,233.48,2.57,2.34,1.19
1_BASE,179,1,CABEZAS,BASE,298.01,0.15,0.00,0.00
1_BASE,180,1,CABEZAS,BASE,240.30,0.61,1.30,0.66
1_BASE,181,1,CABEZAS,BASE,91.43,0.08,0.01,0.01
1_BASE,182,1,CABEZAS,BASE,23.55,0.02,0.01,0.01
1_BASE,183,1,CABEZAS,BASE,10.85,0.22,0.71,0.07
1_BASE,184,1,CABEZAS,BASE,708.47,0.00,0.24,0.06
1_BASE,185,1,CABEZAS,BASE,186.01,0.08,2.37,1.00
1_BASE,186,1,CABEZAS,BASE,172.27,0.02,1.13,0.47
1_BASE,187,1,CABEZAS,BASE,403.38,0.46,2.79,1.42
1_BASE,188,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,189,1,CABEZAS,BASE,216.24,0.00,0.00,0.00
1_BASE,190,1,CABEZAS,BASE,719.01,0.07,0.06,0.02
1_BASE,191,1,CABEZAS,BASE,84.47,0.08,0.00,0.00
1_BASE,192,1,CABEZAS,BASE,137.70,0.11,0.01,0.01
1_BASE,193,1,CABEZAS,BASE,156.72,0.71,3.27,1.38
1_BASE,194,1,CABEZAS,BASE,296.72,0.89,3.21,1.35
1_BASE,195,1,CABEZAS,BASE,300.03,11.64,3.06,1.56
1_BASE,196,1,CABEZAS,BASE,231.82,0.03,0.01,0.01
1_BASE,197,1,CABEZAS,BASE,23.55,0.08,0.01,0.01
1_BASE,198,1,CABEZAS,BASE,260.92,0.58,1.95,0.99
1_BASE,199,1,CABEZAS,BASE,305.53,0.08,1.67,0.70
1_BASE,200,1,CABEZAS,BASE,339.96,0.24,4.64,1.86
1_BASE,201,1,CABEZAS,BASE,182.90,0.01,0.01,0.01
1_BASE,202,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,203,1,CABEZAS,BASE,173.29,0.08,0.00,0.00
1_BASE,204,1,CABEZAS,BASE,181.00,0.05,2.79,1.17
1_BASE,205,1,CABEZAS,BASE,24.62,0.01,0.00,0.00
1_BASE,206,1,CABEZAS,BASE,367.64,0.23,2.18,0.91
1_BASE,207,1,CABEZAS,BASE,323.78,0.46,2.43,1.02
1_BASE,208,1,CABEZAS,BASE,327.53,0.00,0.00,0.00
1_BASE,209,1,CABEZAS,BASE,403.38,2.81,3.28,1.67
1_BASE,210,1,CABEZAS,BASE,210.14,0.04,0.00,0.00
1_BASE,211,1,CABEZAS,BASE,303.32,0.87,2.52,1.06
1_BASE,212,1,CABEZAS,BASE,238.15,1.06,1.39,0.71
1_BASE,213,1,CABEZAS,BASE,208.34,0.03,0.00,0.00
1_BASE,214,1,CABEZAS,BASE,244.40,0.25,0.93,0.47
1_BASE,215,1,CABEZAS,BASE,725.14,0.01,0.01,0.01
1_BASE,216,1,CABEZAS,BASE,218.13,0.00,0.00,0.00
1_BASE,217,1,CABEZAS,BASE,300.12,0.00,0.00,0.00
1_BASE,218,1,CABEZAS,BASE,114.78,0.09,0.01,0.01
1_BASE,219,1,CABEZAS,BASE,199.77,0.01,0.00,0.00
1_BASE,220,1,CABEZAS,BASE,357.55,0.00,0.00,0.00
1_BASE,221,1,CABEZAS,BASE,120.00,0.00,0.00,0.00
1_BASE,222,1,CABEZAS,BASE,157.17,2.78,2.85,1.20
1_BASE,223,1,CABEZAS,BASE,168.95,2.34,0.02,0.02
1_BASE,224,1,CABEZAS,BASE,425.09,0.19,2.10,1.07
1_BASE,225,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,226,1,CABEZAS,BASE,21.99,0.33,0.01,0.01
1_BASE,227,1,CABEZAS,BASE,218.55,0.16,0.00,0.00
1_BASE,228,1,CABEZAS,BASE,135.30,0.00,0.00,0.00
1_BASE,229,1,CABEZAS,BASE,413.06,0.45,2.07,1.05
1_BASE,230,1,CABEZAS,BASE,23.55,0.04,0.01,0.01
1_BASE,231,1,CABEZAS,BASE,229.83,0.00,0.00,0.00
1_BASE,232,1,CABEZAS,BASE,158.64,0.00,0.00,0.00
1_BASE,233,1,CABEZAS,BASE,332.34,0.16,2.41,1.02
1_BASE,234,1,CABEZAS,BASE,413.36,0.06,1.41,0.72
1_BASE,235,1,CABEZAS,BASE,113.20,0.03,0.01,0.01
1_BASE,236,1,CABEZAS,BASE,348.29,0.43,0.00,0.00
1_BASE,237,1,CABEZAS,BASE,79.21,0.12,0.01,0.01
1_BASE,238,1,CABEZAS,BASE,103.59,1.21,0.01,0.01
1_BASE,239,1,CABEZAS,BASE,28.94,0.04,0.01,0.01
1_BASE,240,1,CABEZAS,BASE,168.93,0.12,2.38,1.00
1_BASE,241,1,CABEZAS,BASE,258.12,0.63,1.53,0.78
1_BASE,242,1,CABEZAS,BASE,181.79,0.01,2.15,0.90
1_BASE,243,1,CABEZAS,BASE,151.81,0.04,0.00,0.00
1_BASE,244,1,CABEZAS,BASE,156.72,0.61,2.13,0.89
1_BASE,245,1,CABEZAS,BASE,211.68,0.08,0.00,0.00
1_BASE,246,1,CABEZAS,BASE,240.29,0.01,0.01,0.01
1_BASE,247,1,CABEZAS,BASE,20.98,0.07,0.00,0.00
1_BASE,248,1,CABEZAS,BASE,152.77,0.35,2.55,1.07
1_BASE,249,1,CABEZAS,BASE,261.23,0.10,1.07,0.54
1_BASE,250,1,CABEZAS,BASE,181.34,0.19,2.57,1.08
1_BASE,251,1,CABEZAS,BASE,223.21,0.03,0.01,0.01
1_BASE,252,1,CABEZAS,BASE,0.00,9.34,0.00,0.00
1_BASE,253,1,CABEZAS,BASE,233.32,0.04,0.00,0.00
1_BASE,254,1,CABEZAS,BASE,182.13,0.04,2.84,1.20
1_BASE,255,1,CABEZAS,BASE,181.34,0.01,2.83,1.19
1_BASE,256,1,CABEZAS,BASE,227.80,0.04,0.00,0.00
1_BASE,257,1,CABEZAS,BASE,81.56,0.00,0.01,0.01
1_BASE,258,1,CABEZAS,BASE,221.68,0.02,0.01,0.01
1_BASE,259,1,CABEZAS,BASE,715.84,0.10,0.09,0.02
1_BASE,260,1,CABEZAS,BASE,24.45,0.18,0.01,0.01
1_BASE,261,1,CABEZAS,BASE,451.03,0.14,1.76,0.90
1_BASE,262,1,CABEZAS,BASE,290.24,7.29,1.32,0.67
1_BASE,263,1,CABEZAS,BASE,227.46,0.04,0.01,0.01
1_BASE,264,1,CABEZAS,BASE,240.34,0.04,0.00,0.00
1_BASE,265,1,CABEZAS,BASE,181.05,0.03,2.03,0.85
1_BASE,266,1,CABEZAS,BASE,218.13,0.00,0.00,0.00
1_BASE,267,1,CABEZAS,BASE,121.15,0.06,0.01,0.01
1_BASE,268,1,CABEZAS,BASE,307.62,0.00,0.00,0.00
1_BASE,269,1,CABEZAS,BASE,245.47,0.00,0.00,0.00
1_BASE,270,1,CABEZAS,BASE,292.22,6.97,2.45,0.98
1_BASE,271,1,CABEZAS,BASE,290.84,0.04,1.83,0.77
1_BASE,272,1,CABEZAS,BASE,56.26,0.02,0.00,0.00
1_BASE,273,1,CABEZAS,BASE,194.43,0.05,0.02,0.02
1_BASE,274,1,CABEZAS,BASE,215.31,0.00,0.51,0.26
1_BASE,275,1,CABEZAS,BASE,208.34,0.01,0.00,0.00
1_BASE,276,1,CABEZAS,BASE,173.07,0.06,1.89,0.79
1_BASE,277,1,CABEZAS,BASE,51.97,1.35,1.85,0.19
1_BASE,278,1,CABEZAS,BASE,112.16,0.00,0.01,0.01
1_BASE,279,1,CABEZAS,BASE,150.34,0.99,0.01,0.01
1_BASE,280,1,CABEZAS,BASE,0.00,0.10,0.00,0.00
1_BASE,281,1,CABEZAS,BASE,114.78,0.07,0.02,0.02
1_BASE,282,1,CABEZAS,BASE,93.26,0.00,0.00,0.00
1_BASE,283,1,CABEZAS,BASE,191.86,0.04,0.00,0.00
1_BASE,284,1,CABEZAS,BASE,376.42,1.81,2.02,1.03
1_BASE,285,1,CABEZAS,BASE,268.81,2.35,1.68,0.85
1_BASE,286,1,CABEZAS,BASE,140.93,0.67,0.00,0.00
1_BASE,287,1,CABEZAS,BASE,173.07,1.06,3.33,1.40
1_BASE,288,1,CABEZAS,BASE,182.13,0.07,3.24,1.36
1_BASE,289,1,CABEZAS,BASE,101.08,0.08,0.00,0.00
1_BASE,290,1,CABEZAS,BASE,195.44,0.02,0.00,0.00
1_BASE,291,1,CABEZAS,BASE,361.81,0.00,0.00,0.00
1_BASE,292,1,CABEZAS,BASE,120.88,0.97,0.01,0.01
1_BASE,293,1,CABEZAS,BASE,364.73,0.00,0.00,0.00
1_BASE,294,1,CABEZAS,BASE,218.13,0.00,0.00,0.00
1_BASE,295,1,CABEZAS,BASE,173.07,1.10,2.58,1.09
1_BASE,296,1,CABEZAS,BASE,21.99,0.42,0.01,0.01
1_BASE,297,1,CABEZAS,BASE,181.34,0.53,2.37,1.00
1_BASE,298,1,CABEZAS,BASE,216.24,0.00,0.00,0.00
1_BASE,299,1,CABEZAS,BASE,181.14,0.08,1.50,0.63
1_BASE,300,1,CABEZAS,BASE,420.79,0.03,2.41,1.23
1_BASE,301,1,CABEZAS,BASE,195.90,0.00,0.00,0.00
1_BASE,302,1,CABEZAS,BASE,421.78,0.74,0.00,0.00
1_BASE,303,1,CABEZAS,BASE,266.46,0.31,0.02,0.02
1_BASE,304,1,CABEZAS,BASE,313.49,0.23,1.83,0.77
1_BASE,305,1,CABEZAS,BASE,282.23,0.98,5.28,2.22
1_BASE,306,1,CABEZAS,BASE,240.41,0.75,5.40,2.27
1_BASE,307,1,CABEZAS,BASE,274.01,21.74,3.37,1.71
1_BASE,308,1,CABEZAS,BASE,114.78,0.12,0.00,0.00
1_BASE,309,1,CABEZAS,BASE,299.80,0.01,1.94,0.82
1_BASE,310,1,CABEZAS,BASE,412.66,0.01,0.18,0.04
1_BASE,311,1,CABEZAS,BASE,752.16,0.00,0.25,0.06
1_BASE,312,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,313,1,CABEZAS,BASE,10.56,1.89,1.29,0.13
1_BASE,314,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,315,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,316,1,CABEZAS,BASE,216.24,0.00,0.00,0.00
1_BASE,317,1,CABEZAS,BASE,21.36,0.01,0.01,0.01
1_BASE,318,1,CABEZAS,BASE,144.16,0.02,1.25,0.64
1_BASE,319,1,CABEZAS,BASE,212.14,1.68,1.23,0.50
1_BASE,320,1,CABEZAS,BASE,193.18,0.01,0.01,0.01
1_BASE,321,1,CABEZAS,BASE,100.07,0.34,0.02,0.02
1_BASE,322,1,CABEZAS,BASE,692.94,0.00,0.00,0.00
1_BASE,323,1,CABEZAS,BASE,313.51,0.49,2.32,0.97
1_BASE,324,1,CABEZAS,BASE,724.78,0.00,0.09,0.02
1_BASE,325,1,CABEZAS,BASE,239.65,11.08,2.66,1.35
1_BASE,326,1,CABEZAS,BASE,127.59,0.02,0.01,0.01
1_BASE,327,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,328,1,CABEZAS,BASE,117.04,0.01,0.00,0.00
1_BASE,329,1,CABEZAS,BASE,108.18,0.00,0.00,0.00
1_BASE,330,1,CABEZAS,BASE,267.23,0.09,0.00,0.00
1_BASE,331,1,CABEZAS,BASE,342.87,0.00,0.00,0.00
1_BASE,332,1,CABEZAS,BASE,209.81,12.19,2.11,0.89
1_BASE,333,1,CABEZAS,BASE,188.49,0.36,2.15,0.90
1_BASE,334,1,CABEZAS,BASE,364.73,0.00,0.00,0.00
1_BASE,335,1,CABEZAS,BASE,218.55,0.00,0.00,0.00
1_BASE,336,1,CABEZAS,BASE,199.77,0.01,0.00,0.00
1_BASE,337,1,CABEZAS,BASE,229.89,1.24,4.75,2.00
1_BASE,338,1,CABEZAS,BASE,113.89,0.03,0.01,0.01
1_BASE,339,1,CABEZAS,BASE,56.65,0.00,0.00,0.00
1_BASE,340,1,CABEZAS,BASE,106.56,0.60,0.00,0.00
1_BASE,341,1,CABEZAS,BASE,134.34,0.10,0.02,0.02
1_BASE,342,1,CABEZAS,BASE,411.80,0.11,1.22,0.62
1_BASE,343,1,CABEZAS,BASE,115.02,0.10,0.02,0.02
1_BASE,344,1,CABEZAS,BASE,173.80,8.02,0.00,0.00
1_BASE,345,1,CABEZAS,BASE,408.51,1.70,3.13,1.59
1_BASE,346,1,CABEZAS,BASE,319.89,0.38,4.25,1.79
1_BASE,347,1,CABEZAS,BASE,220.89,0.01,0.00,0.00
1_BASE,348,1,CABEZAS,BASE,274.25,30.87,3.26,1.65
1_BASE,349,1,CABEZAS,BASE,352.41,0.22,2.86,1.20
1_BASE,350,1,CABEZAS,BASE,151.05,0.03,1.75,0.74
1_BASE,351,1,CABEZAS,BASE,120.00,0.02,0.01,0.01
1_BASE,352,1,CABEZAS,BASE,0.00,0.00,0.00,0.00
1_BASE,353,1,CABEZAS,BASE,261.70,0.05,1.17,0.59
1_BASE,354,1,CABEZAS,BASE,117.04,0.29,0.01,0.01
1_BASE,355,1,CABEZAS,BASE,290.84,0.17,2.10,0.88
1_BASE,356,1,CABEZAS,BASE,20.98,0.02,0.01,0.01
1_BASE,357,1,CABEZAS,BASE,189.20,0.03,0.01,0.01
1_BASE,358,1,CABEZAS,BASE,216.24,0.00,0.00,0.00
1_BASE,359,1,CABEZAS,BASE,100.13,0.12,0.01,0.01
1_BASE,360,1,CABEZAS,BASE,182.59,0.02,1.92,0.81
1_BASE,361,1,CABEZAS,BASE,0.00,0.00,2.89,1.47
1_BASE,362,1,CABEZAS,BASE,181.05,0.20,1.76,0.74
1_BASE,363,1,CABEZAS,BASE,229.83,0.00,0.00,0.00
1_BASE,364,1,CABEZAS,BASE,96.01,0.48,0.01,0.01
1_BASE,365,1,CABEZAS,BASE,309.43,0.55,1.73,0.88
1_BASE,366,1,CABEZAS,BASE,172.27,0.01,0.49,0.21
1_BASE,367,1,CABEZAS,BASE,213.16,1.24,0.02,0.02
1_BASE,368,1,CABEZAS,BASE,150.09,0.00,0.00,0.00
1_BASE,369,1,CABEZAS,BASE,277.00,0.00,0.00,0.00
1_BASE,370,1,CABEZAS,BASE,186.33,3.12,0.03,0.03
1_BASE,371,1,CABEZAS,BASE,113.75,0.06,0.00,0.00
1_BASE,372,1,CABEZAS,BASE,210.14,0.01,0.00,0.00
1_BASE,373,1,CABEZAS,BASE,296.72,0.25,3.18,1.34
1_BASE,374,1,CABEZAS,BASE,152.77,0.27,2.36,0.99
1_BASE,375,1,CABEZAS,BASE,176.89,0.11,1.34,0.57
1_BASE,376,1,CABEZAS,BASE,329.78,1.85,3.92,1.65
1_BASE,377,1,CABEZAS,BASE,340.33,0.63,2.52,1.28
